scale,capability,radius,radius_label,delta_sorted,ecdf
3B,visual_grounding,0.017849414271899712,mid,0.0,0.390625
3B,visual_grounding,0.017849414271899712,mid,0.0,0.40625
3B,visual_grounding,0.017849414271899712,mid,0.0,0.421875
3B,visual_grounding,0.017849414271899712,mid,0.0,0.4375
3B,visual_grounding,0.017849414271899712,mid,0.0,0.453125
3B,visual_grounding,0.017849414271899712,mid,0.0,0.46875
3B,visual_grounding,0.017849414271899712,mid,0.0,0.484375
3B,visual_grounding,0.017849414271899712,mid,0.0,0.5
3B,visual_grounding,0.017849414271899712,mid,0.0,0.515625
3B,visual_grounding,0.017849414271899712,mid,0.0,0.53125
3B,visual_grounding,0.017849414271899712,mid,0.0,0.546875
3B,visual_grounding,0.017849414271899712,mid,0.0,0.5625
3B,visual_grounding,0.017849414271899712,mid,0.0,0.578125
3B,visual_grounding,0.017849414271899712,mid,0.0,0.59375
3B,visual_grounding,0.017849414271899712,mid,0.0,0.609375
3B,visual_grounding,0.017849414271899712,mid,0.0,0.625
3B,visual_grounding,0.017849414271899712,mid,0.0,0.640625
3B,visual_grounding,0.017849414271899712,mid,0.0,0.65625
3B,visual_grounding,0.017849414271899712,mid,0.0,0.671875
3B,visual_grounding,0.017849414271899712,mid,0.0,0.6875
3B,visual_grounding,0.017849414271899712,mid,0.0,0.703125
3B,visual_grounding,0.017849414271899712,mid,0.0,0.71875
3B,visual_grounding,0.017849414271899712,mid,0.0,0.734375
3B,visual_grounding,0.017849414271899712,mid,0.0,0.75
3B,visual_grounding,0.017849414271899712,mid,0.0,0.765625
3B,visual_grounding,0.017849414271899712,mid,0.0,0.78125
3B,visual_grounding,0.017849414271899712,mid,0.0,0.796875
3B,visual_grounding,0.017849414271899712,mid,0.0,0.8125
3B,visual_grounding,0.017849414271899712,mid,0.0,0.828125
3B,visual_grounding,0.017849414271899712,mid,0.0,0.84375
3B,visual_grounding,0.017849414271899712,mid,0.0,0.859375
3B,visual_grounding,0.017849414271899712,mid,0.0,0.875
3B,visual_grounding,0.017849414271899712,mid,0.0,0.890625
3B,visual_grounding,0.017849414271899712,mid,0.0,0.90625
3B,visual_grounding,0.017849414271899712,mid,0.0,0.921875
3B,visual_grounding,0.017849414271899712,mid,0.0,0.9375
3B,visual_grounding,0.017849414271899712,mid,0.0,0.953125
3B,visual_grounding,0.017849414271899712,mid,0.0,0.96875
3B,visual_grounding,0.017849414271899712,mid,0.0,0.984375
3B,visual_grounding,0.017849414271899712,mid,0.020000000000000018,1.0
3B,visual_grounding,0.07139765708759885,transition,-0.14,0.015625
3B,visual_grounding,0.07139765708759885,transition,-0.040000000000000036,0.03125
3B,visual_grounding,0.07139765708759885,transition,-0.040000000000000036,0.046875
3B,visual_grounding,0.07139765708759885,transition,-0.040000000000000036,0.0625
3B,visual_grounding,0.07139765708759885,transition,-0.040000000000000036,0.078125
3B,visual_grounding,0.07139765708759885,transition,-0.040000000000000036,0.09375
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.109375
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.125
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.140625
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.15625
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.171875
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.1875
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.203125
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.21875
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.234375
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.25
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.265625
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.28125
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.296875
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.3125
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.328125
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.34375
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.359375
3B,visual_grounding,0.07139765708759885,transition,-0.020000000000000018,0.375
3B,visual_grounding,0.07139765708759885,transition,0.0,0.390625
3B,visual_grounding,0.07139765708759885,transition,0.0,0.40625
3B,visual_grounding,0.07139765708759885,transition,0.0,0.421875
3B,visual_grounding,0.07139765708759885,transition,0.0,0.4375
3B,visual_grounding,0.07139765708759885,transition,0.0,0.453125
3B,visual_grounding,0.07139765708759885,transition,0.0,0.46875
3B,visual_grounding,0.07139765708759885,transition,0.0,0.484375
3B,visual_grounding,0.07139765708759885,transition,0.0,0.5
3B,visual_grounding,0.07139765708759885,transition,0.0,0.515625
3B,visual_grounding,0.07139765708759885,transition,0.0,0.53125
3B,visual_grounding,0.07139765708759885,transition,0.0,0.546875
3B,visual_grounding,0.07139765708759885,transition,0.0,0.5625
3B,visual_grounding,0.07139765708759885,transition,0.0,0.578125
3B,visual_grounding,0.07139765708759885,transition,0.0,0.59375
3B,visual_grounding,0.07139765708759885,transition,0.0,0.609375
3B,visual_grounding,0.07139765708759885,transition,0.0,0.625
3B,visual_grounding,0.07139765708759885,transition,0.0,0.640625
3B,visual_grounding,0.07139765708759885,transition,0.0,0.65625
3B,visual_grounding,0.07139765708759885,transition,0.0,0.671875
3B,visual_grounding,0.07139765708759885,transition,0.0,0.6875
3B,visual_grounding,0.07139765708759885,transition,0.0,0.703125
3B,visual_grounding,0.07139765708759885,transition,0.0,0.71875
3B,visual_grounding,0.07139765708759885,transition,0.0,0.734375
3B,visual_grounding,0.07139765708759885,transition,0.0,0.75
3B,visual_grounding,0.07139765708759885,transition,0.0,0.765625
3B,visual_grounding,0.07139765708759885,transition,0.0,0.78125
3B,visual_grounding,0.07139765708759885,transition,0.0,0.796875
3B,visual_grounding,0.07139765708759885,transition,0.0,0.8125
3B,visual_grounding,0.07139765708759885,transition,0.020000000000000018,0.828125
3B,visual_grounding,0.07139765708759885,transition,0.020000000000000018,0.84375
3B,visual_grounding,0.07139765708759885,transition,0.020000000000000018,0.859375
3B,visual_grounding,0.07139765708759885,transition,0.020000000000000018,0.875
3B,visual_grounding,0.07139765708759885,transition,0.020000000000000018,0.890625
3B,visual_grounding,0.07139765708759885,transition,0.020000000000000018,0.90625
3B,visual_grounding,0.07139765708759885,transition,0.020000000000000018,0.921875
3B,visual_grounding,0.07139765708759885,transition,0.020000000000000018,0.9375
3B,visual_grounding,0.07139765708759885,transition,0.020000000000000018,0.953125
3B,visual_grounding,0.07139765708759885,transition,0.040000000000000036,0.96875
3B,visual_grounding,0.07139765708759885,transition,0.040000000000000036,0.984375
3B,visual_grounding,0.07139765708759885,transition,0.040000000000000036,1.0
3B,counting,0.0035698828543799426,small,0.0,0.015625
3B,counting,0.0035698828543799426,small,0.0,0.03125
3B,counting,0.0035698828543799426,small,0.0,0.046875
3B,counting,0.0035698828543799426,small,0.0,0.0625
3B,counting,0.0035698828543799426,small,0.0,0.078125
3B,counting,0.0035698828543799426,small,0.0,0.09375
3B,counting,0.0035698828543799426,small,0.0,0.109375
3B,counting,0.0035698828543799426,small,0.0,0.125
3B,counting,0.0035698828543799426,small,0.0,0.140625
3B,counting,0.0035698828543799426,small,0.0,0.15625
3B,counting,0.0035698828543799426,small,0.0,0.171875
3B,counting,0.0035698828543799426,small,0.0,0.1875
3B,counting,0.0035698828543799426,small,0.0,0.203125
3B,counting,0.0035698828543799426,small,0.0,0.21875
3B,counting,0.0035698828543799426,small,0.0,0.234375
3B,counting,0.0035698828543799426,small,0.0,0.25
3B,counting,0.0035698828543799426,small,0.0,0.265625
3B,counting,0.0035698828543799426,small,0.0,0.28125
3B,counting,0.0035698828543799426,small,0.0,0.296875
3B,counting,0.0035698828543799426,small,0.0,0.3125
3B,counting,0.0035698828543799426,small,0.0,0.328125
3B,counting,0.0035698828543799426,small,0.0,0.34375
3B,counting,0.0035698828543799426,small,0.0,0.359375
3B,counting,0.0035698828543799426,small,0.0,0.375
3B,counting,0.0035698828543799426,small,0.0,0.390625
3B,counting,0.0035698828543799426,small,0.0,0.40625
3B,counting,0.0035698828543799426,small,0.0,0.421875
3B,counting,0.0035698828543799426,small,0.0,0.4375
3B,counting,0.0035698828543799426,small,0.0,0.453125
3B,counting,0.0035698828543799426,small,0.0,0.46875
3B,counting,0.0035698828543799426,small,0.0,0.484375
3B,counting,0.0035698828543799426,small,0.0,0.5
3B,counting,0.0035698828543799426,small,0.0,0.515625
3B,counting,0.0035698828543799426,small,0.0,0.53125
3B,counting,0.0035698828543799426,small,0.0,0.546875
3B,counting,0.0035698828543799426,small,0.0,0.5625
3B,counting,0.0035698828543799426,small,0.0,0.578125
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.59375
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.609375
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.625
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.640625
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.65625
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.671875
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.6875
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.703125
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.71875
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.734375
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.75
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.765625
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.78125
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.796875
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.8125
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.828125
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.84375
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.859375
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.875
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.890625
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.90625
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.921875
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.9375
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.953125
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.96875
3B,counting,0.0035698828543799426,small,0.019999999999999907,0.984375
3B,counting,0.0035698828543799426,small,0.019999999999999907,1.0
3B,counting,0.017849414271899712,mid,-0.040000000000000036,0.015625
3B,counting,0.017849414271899712,mid,-0.020000000000000018,0.03125
3B,counting,0.017849414271899712,mid,-0.020000000000000018,0.046875
3B,counting,0.017849414271899712,mid,-0.020000000000000018,0.0625
3B,counting,0.017849414271899712,mid,-0.020000000000000018,0.078125
3B,counting,0.017849414271899712,mid,-0.020000000000000018,0.09375
3B,counting,0.017849414271899712,mid,-0.020000000000000018,0.109375
3B,counting,0.017849414271899712,mid,-0.020000000000000018,0.125
3B,counting,0.017849414271899712,mid,-0.020000000000000018,0.140625
3B,counting,0.017849414271899712,mid,0.0,0.15625
3B,counting,0.017849414271899712,mid,0.0,0.171875
3B,counting,0.017849414271899712,mid,0.0,0.1875
